ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText
79,84,15,2024-05-28,2,The  product  arrived    late.
80,98,16,2025-05-24,3,Not  worth  the  money.
81,3,19,2024-09-04,4,Five  stars  for  the  quick  delivery.
82,78,13,2023-05-02,4,Shipping    was  fast  and  the  item  was  well-packaged.
83,32,11,2025-05-26,4,The  quality  is    top-notch.
84,40,20,2023-07-17,4,"Good  quality,  but  could  be  cheaper."
85,17,6,2025-10-25,5,Five  stars  for  the  quick  delivery.
86,78,3,2025-10-06,5,"Excellent  product,  highly  recommend!"
87,89,17,2023-05-26,3,Not    worth  the  money.
88,93,19,2025-08-26,4,Exceeded  my  expectations!
89,60,3,2024-07-08,3,The  quality  is  top-notch.
90,47,17,2025-11-12,4,Five  stars  for  the  quick  delivery.
91,4,16,2025-09-27,3,"Great  purchase,  very  satisfied."
92,2,16,2023-11-21,3,Not  worth  the  money.
93,60,13,2024-09-05,3,Not  worth  the  money.
94,2,16,2025-03-14,4,The  quality  is  top-notch.
95,16,16,2024-04-07,4,Shipping  was  fast  and  the  item  was  well-packaged.
96,19,13,2023-09-02,3,"Good  quality,  but  could  be  cheaper."
97,64,6,2024-01-19,3,"The  product  is  okay,  but  the  instructions  were  unclear."
98,96,3,2025-11-20,5,Exceeded  my  expectations!
99,79,16,2025-01-29,2,"Average  experience,  nothing  special."
100,9,2,2025-06-20,3,Not  worth  the  money.
